index,value
0,3.72022041e-05
1,4.8226877e-05
2,6.23009328e-05
3,8.01984788e-05
4,0.00010286933
5,0.000131475434
6,0.000167427192
7,0.000212431769
8,0.000268542877
9,0.000338220329
10,0.000424391619
11,0.000530532736
12,0.000660733844
13,0.00081979332
14,0.00101330306
15,0.00124774966
16,0.00153060711
17,0.00187043613
18,0.00227701245
19,0.00276137935
20,0.00333597022
21,0.00401468202
22,0.0048129526
23,0.00574779604
24,0.00683780806
25,0.00810328219
26,0.00956600253
27,0.011249274
28,0.0131777963
29,0.0153774628
30,0.0178750996
31,0.0206984244
32,0.0238753594
33,0.0274338275
34,0.0314013064
35,0.0358042344
36,0.040667396
37,0.0460137427
38,0.0518630482
39,0.0582317151
40,0.0651319996
41,0.0725712553
42,0.0805514157
43,0.0890680477
44,0.0981107131
45,0.107661247
46,0.117694281
47,0.128176674
48,0.139067546
49,0.15031828
50,0.161872461
51,0.173667476
52,0.185633287
53,0.197694421
54,0.209770665
55,0.221777692
56,0.233629942
57,0.245238587
58,0.256517261
59,0.267380208
60,0.277745396
61,0.287535578
62,0.296679825
63,0.3051157
64,0.312788546
65,0.319655061
66,0.325682431
67,0.330849767
68,0.335148454
69,0.338582337
70,0.341167957
71,0.342933774
72,0.343919933
73,0.344177395
74,0.343766868
75,0.342757791
76,0.341226637
77,0.339255601
78,0.33693096
79,0.334341496
80,0.331576645
81,0.32872501
82,0.32587266
83,0.323101759
84,0.320489049
85,0.318104744
86,0.316011578
87,0.314263821
88,0.312906712
89,0.311975777
90,0.311497241
91,0.311487049
92,0.311951756
93,0.312888622
94,0.314285934
95,0.316123605
96,0.318374276
97,0.321003586
98,0.323971361
99,0.32723245
100,0.33073768
101,0.334434807
102,0.338269293
103,0.342185766
104,0.346127898
105,0.350040346
106,0.353868663
107,0.357560247
108,0.361065388
109,0.364336789
110,0.367331117
111,0.370008945
112,0.372334749
113,0.374277472
114,0.375810772
115,0.37691316
116,0.3775675
117,0.377761811
118,0.377488494
119,0.376744688
120,0.375531882
121,0.373855799
122,0.371726125
123,0.369156688
124,0.366164386
125,0.362769336
126,0.358994842
127,0.354867011
128,0.35041368
129,0.34566465
130,0.340652049
131,0.335408479
132,0.329967618
133,0.324364394
134,0.31863305
135,0.312808871
136,0.306925774
137,0.301018208
138,0.295118868
139,0.289259344
140,0.283470869
141,0.277781844
142,0.272220194
143,0.266810834
144,0.261577666
145,0.256541789
146,0.251721978
147,0.247135431
148,0.242796153
149,0.238716513
150,0.234905839
151,0.231371731
152,0.228118926
153,0.225149944
154,0.22246553
155,0.220063731
156,0.217941046
157,0.216091648
158,0.214508265
159,0.213181674
160,0.212101161
161,0.211254805
162,0.21062915
163,0.210209861
164,0.209981501
165,0.209927887
166,0.21003215
167,0.210276902
168,0.21064432
169,0.211116463
170,0.211675152
171,0.212302268
172,0.212979749
173,0.213689893
174,0.214415312
175,0.215138912
176,0.215844333
177,0.216515705
178,0.217137843
179,0.217696294
180,0.218177482
181,0.218568623
182,0.21885778
183,0.219034046
184,0.219087407
185,0.219008803
186,0.218790188
187,0.218424499
188,0.217905626
189,0.217228547
190,0.21638912
191,0.215384156
192,0.214211538
193,0.212869883
194,0.21135892
195,0.209678993
196,0.207831532
197,0.205818594
198,0.20364289
199,0.201308236
200,0.198818564
201,0.196179032
202,0.193394795
203,0.190472096
204,0.187417239
205,0.184236959
206,0.180938676
207,0.177530363
208,0.174019217
209,0.170413747
210,0.166722462
211,0.16295369
212,0.159115836
213,0.155217782
214,0.151268557
215,0.147276103
216,0.143249363
217,0.139197096
218,0.13512744
219,0.131048471
220,0.126968563
221,0.122895345
222,0.118836172
223,0.114798538
224,0.110789619
225,0.106815904
226,0.102883555
227,0.0989989638
228,0.0951675773
229,0.0913945287
230,0.0876849145
231,0.0840434581
232,0.0804741532
233,0.0769805908
234,0.0735665485
235,0.0702348799
236,0.0669880733
237,0.063828595
238,0.0607585311
239,0.057779327
240,0.0548920706
241,0.0520979948
242,0.0493975654
243,0.0467909649
244,0.0442783572
245,0.0418596156
246,0.0395341143
247,0.0373010114
248,0.0351595655
249,0.0331084952
250,0.0311463438
251,0.029271692
252,0.0274829194
253,0.025778098
254,0.0241551958
255,0.0226122942
256,0.021147145
257,0.0197574329
258,0.0184409041
259,0.017195303
260,0.0160179771
261,0.0149065861
262,0.0138587346
263,0.0128718726
264,0.0119434986
265,0.0110711856
266,0.0102525791
267,0.00948509667
268,0.00876644161
269,0.00809430704
270,0.00746636279
271,0.0068803383
272,0.0063340757
273,0.00582550466
274,0.00535245612
275,0.00491298875
276,0.00450519053
277,0.00412718114
278,0.00377715868
279,0.00345343747
280,0.00315435906
281,0.0028783381
282,0.0026238875
283,0.00238959189
284,0.00217407849
285,0.00197604951
286,0.00179430086
287,0.00162766827
288,0.00147505244
289,0.00133543264
290,0.00120784598
291,0.00109137595
292,0.000985161983
293,0.00088841567
294,0.000800383277
295,0.000720361422
