index,value
0,1.3506261e-05
1,1.75229688e-05
2,2.2653554e-05
3,2.91813012e-05
4,3.74538758e-05
5,4.78966904e-05
6,6.10262032e-05
7,7.74676446e-05
8,9.79732795e-05
9,0.000123444217
10,0.000154953028
11,0.000193773332
12,0.000241403919
13,0.000299603096
14,0.00037042005
15,0.000456231937
16,0.000559777603
17,0.000684194209
18,0.00083306391
19,0.00101043296
20,0.00122085691
21,0.00146942656
22,0.0017617963
23,0.00210419716
24,0.00250343792
25,0.00296694739
26,0.00350269605
27,0.00411921041
28,0.00482552219
29,0.00563109387
30,0.00654572342
31,0.00757952873
32,0.00874269195
33,0.0100453841
34,0.0114975991
35,0.0131089361
36,0.0148883741
37,0.0168441944
38,0.0189835019
39,0.0213121343
40,0.0238343887
41,0.0265527423
42,0.0294676516
43,0.0325772092
44,0.0358772874
45,0.0393608697
46,0.0430182926
47,0.0468369909
48,0.0508015491
49,0.0548936613
50,0.0590921566
51,0.0633735582
52,0.067711629
53,0.0720781535
54,0.0764431208
55,0.0807750151
56,0.0850418955
57,0.0892105848
58,0.0932488739
59,0.0971247256
60,0.100807548
61,0.104268558
62,0.107481286
63,0.110422485
64,0.113071807
65,0.115413167
66,0.117434397
67,0.11912787
68,0.120490536
69,0.121524066
70,0.122234903
71,0.122634105
72,0.122737087
73,0.122563496
74,0.122136734
75,0.121483609
76,0.120633744
77,0.119619086
78,0.118473336
79,0.117231391
80,0.11592862
81,0.114600405
82,0.113281474
83,0.112005413
84,0.110804111
85,0.109707408
86,0.108742714
87,0.107934631
88,0.107304804
89,0.106871605
90,0.106650323
91,0.106652834
92,0.106887899
93,0.107361116
94,0.108075149
95,0.109029911
96,0.110222876
97,0.111649297
98,0.113302507
99,0.115174286
100,0.117255136
101,0.119534671
102,0.122001834
103,0.124645501
104,0.127454147
105,0.1304169
106,0.133523241
107,0.13676329
108,0.140128493
109,0.143610761
110,0.147203773
111,0.150902569
112,0.15470323
113,0.158603311
114,0.162602201
115,0.166700825
116,0.17090103
117,0.175206602
118,0.179622754
119,0.184155673
120,0.188812524
121,0.193602175
122,0.198534414
123,0.203619242
124,0.208867997
125,0.214292616
126,0.219904989
127,0.225717202
128,0.231741965
129,0.237992108
130,0.24447915
131,0.251215279
132,0.258212149
133,0.265479743
134,0.273028553
135,0.280866653
136,0.289002597
137,0.297442019
138,0.306190491
139,0.315252006
140,0.324627936
141,0.334319413
142,0.344324172
143,0.354640126
144,0.365261078
145,0.376180589
146,0.387390226
147,0.398878038
148,0.410632223
149,0.422636718
150,0.434875906
151,0.447329849
152,0.459978521
153,0.472800046
154,0.485769093
155,0.498861074
156,0.51204735
157,0.525300264
158,0.538588583
159,0.551881254
160,0.565146625
161,0.578350067
162,0.591458499
163,0.604435802
164,0.617248058
165,0.629858136
166,0.642230988
167,0.654331386
168,0.666122437
169,0.677569449
170,0.68863833
171,0.69929415
172,0.709503174
173,0.719233692
174,0.728454947
175,0.737136126
176,0.745249212
177,0.752767742
178,0.759666026
179,0.765920341
180,0.771509469
181,0.776414394
182,0.780616879
183,0.784102261
184,0.786857486
185,0.788871706
186,0.790136516
187,0.790646017
188,0.790396571
189,0.789387047
190,0.787618577
191,0.785094559
192,0.781821191
193,0.777806222
194,0.773060679
195,0.767596662
196,0.761429489
197,0.754575849
198,0.747053981
199,0.738885462
200,0.730091691
201,0.720697761
202,0.710728168
203,0.700211048
204,0.689173937
205,0.677645743
206,0.665657341
207,0.653241158
208,0.640426755
209,0.62724787
210,0.613738
211,0.599929929
212,0.58585614
213,0.571550965
214,0.557049096
215,0.542380631
216,0.527579844
217,0.512679636
218,0.497710973
219,0.482704073
220,0.467690468
221,0.452698708
222,0.4377563
223,0.422891229
224,0.408130258
225,0.393497527
226,0.379016012
227,0.364709407
228,0.350597978
229,0.336700767
230,0.323036611
231,0.309623122
232,0.296474993
233,0.283605605
234,0.271028876
235,0.258755386
236,0.246794343
237,0.235154912
238,0.223844737
239,0.212869182
240,0.202232331
241,0.191938698
242,0.181989983
243,0.172386929
244,0.163130119
245,0.154219106
246,0.145651564
247,0.137424439
248,0.12953499
249,0.121978447
250,0.114749521
251,0.107842952
252,0.101252757
253,0.0949718654
254,0.088992767
255,0.0833084062
256,0.0779104903
257,0.072790511
258,0.0679401457
259,0.0633510947
260,0.0590135902
261,0.0549189895
262,0.0510584861
263,0.0474226847
264,0.0440023579
265,0.040788576
266,0.0377726555
267,0.0349450894
268,0.0322974138
269,0.0298211295
270,0.0275076516
271,0.0253486149
272,0.0233360697
273,0.0214623865
274,0.0197195746
275,0.0181004852
276,0.01659807
277,0.0152054057
278,0.013915848
279,0.0127231916
280,0.0116213234
281,0.010604403
282,0.00966695417
283,0.0088037597
284,0.00800976343
285,0.00728018256
286,0.00661058212
287,0.0059966729
288,0.00543440366
289,0.00492001511
290,0.00444995938
291,0.00402085902
292,0.00362954428
293,0.0032731106
294,0.00294878054
295,0.00265396317
