index,value
0,4.80380804e-05
1,6.23318701e-05
2,8.05907985e-05
3,0.00010382347
4,0.000133267808
5,0.000170438492
6,0.000217174485
7,0.000275702099
8,0.000348699949
9,0.000439376745
10,0.000551551755
11,0.000689760083
12,0.000859338732
13,0.0010665491
14,0.00131868769
15,0.00162421959
16,0.00199289736
17,0.00243589189
18,0.00296595832
19,0.00359750492
20,0.00434675254
21,0.00523182657
22,0.00627286127
23,0.00749204215
24,0.00891361013
25,0.0105640134
26,0.0124716302
27,0.0146668088
28,0.0171817038
29,0.0200499911
30,0.0233065542
31,0.026987385
32,0.0311287213
33,0.0357667431
34,0.0409370102
35,0.0466736332
36,0.0530085415
37,0.0599711463
38,0.0675866678
39,0.0758757815
40,0.0848537013
41,0.0945290923
42,0.104903422
43,0.115969732
44,0.127713099
45,0.140108317
46,0.153120711
47,0.166705236
48,0.180806637
49,0.195359349
50,0.210287556
51,0.22550717
52,0.240924224
53,0.256437629
54,0.271939874
55,0.287318051
56,0.302457452
57,0.317239195
58,0.331547469
59,0.345267177
60,0.358288169
61,0.370506585
62,0.381826758
63,0.39216435
64,0.401445061
65,0.409609824
66,0.416613251
67,0.422425807
68,0.427034259
69,0.430441856
70,0.432668626
71,0.4337506
72,0.433739394
73,0.432701141
74,0.430715144
75,0.4278723
76,0.424273521
77,0.420027196
78,0.415247828
79,0.41005367
80,0.404564142
81,0.398898304
82,0.393172175
83,0.387497485
84,0.381979078
85,0.376713991
86,0.371790081
87,0.367284298
88,0.363262624
89,0.359778613
90,0.356874228
91,0.354578257
92,0.352907926
93,0.351868182
94,0.351452947
95,0.35164544
96,0.352419347
97,0.353739619
98,0.35556367
99,0.357842356
100,0.360521436
101,0.363542438
102,0.366843909
103,0.370363057
104,0.374035537
105,0.37779808
106,0.381588012
107,0.385344863
108,0.389011204
109,0.392532408
110,0.395858318
111,0.398943126
112,0.401745528
113,0.404229224
114,0.406363547
115,0.408122957
116,0.409487158
117,0.410441428
118,0.410976201
119,0.411087096
120,0.410774589
121,0.410044014
122,0.40890491
123,0.407371372
124,0.405461043
125,0.403194964
126,0.400597751
127,0.397696584
128,0.394520938
129,0.391102374
130,0.387474358
131,0.383671403
132,0.379728615
133,0.375682443
134,0.37156862
135,0.367423564
136,0.363282412
137,0.359180212
138,0.355150342
139,0.351224899
140,0.347434849
141,0.343808562
142,0.340373099
143,0.33715266
144,0.334169567
145,0.33144331
146,0.328990757
147,0.326826453
148,0.324961722
149,0.323405594
150,0.322163939
151,0.321240246
152,0.320634991
153,0.320346206
154,0.320369333
155,0.320697397
156,0.32132104
157,0.32222876
158,0.323406905
159,0.32483995
160,0.326510787
161,0.328400403
162,0.330488741
163,0.332754105
164,0.335174203
165,0.337725461
166,0.340383828
167,0.343124926
168,0.345923483
169,0.348754525
170,0.351593137
171,0.354414076
172,0.357192546
173,0.359904587
174,0.362526476
175,0.365035087
176,0.367408335
177,0.369625151
178,0.37166518
179,0.373509228
180,0.375139445
181,0.37653929
182,0.377693236
183,0.378587395
184,0.379209191
185,0.379547417
186,0.379592389
187,0.37933588
188,0.378771156
189,0.377892941
190,0.376697421
191,0.375182092
192,0.373346239
193,0.371189952
194,0.368715376
195,0.365925252
196,0.362824261
197,0.359417766
198,0.355712295
199,0.351715982
200,0.347437322
201,0.342886418
202,0.338073492
203,0.333010554
204,0.327709496
205,0.322182953
206,0.316444665
207,0.310509175
208,0.304389745
209,0.298101723
210,0.291660488
211,0.285081029
212,0.278378338
213,0.271568328
214,0.264667064
215,0.257688671
216,0.250649005
217,0.243563563
218,0.236446798
219,0.229312912
220,0.222176716
221,0.215051636
222,0.207950652
223,0.20088695
224,0.193873137
225,0.186920658
226,0.1800403
227,0.173243299
228,0.166539252
229,0.159937143
230,0.153445899
231,0.14707385
232,0.140827969
233,0.134714574
234,0.128740266
235,0.122910067
236,0.117228337
237,0.111699402
238,0.106326915
239,0.101113401
240,0.0960607901
241,0.0911712199
242,0.0864455253
243,0.0818840191
244,0.0774869844
245,0.0732542127
246,0.0691846088
247,0.0652766973
248,0.0615291856
249,0.05793982
250,0.0545060635
251,0.051225435
252,0.0480950885
253,0.0451116562
254,0.0422715805
255,0.0395715013
256,0.037007492
257,0.0345755033
258,0.0322715752
259,0.0300917756
260,0.0280314572
261,0.0260865241
262,0.0242527816
263,0.0225257762
264,0.0209011212
265,0.0193745736
266,0.0179420132
267,0.0165989175
268,0.0153412716
269,0.0141650364
270,0.0130661335
271,0.0120405909
272,0.0110846329
273,0.0101946332
274,0.00936679728
275,0.00859772973
276,0.00788408332
277,0.00722256722
278,0.00661002751
279,0.00604351563
280,0.00552012818
281,0.00503709167
282,0.00459180307
283,0.00418178551
284,0.00380463735
285,0.0034580864
286,0.00314002647
287,0.00284841959
288,0.00258134166
289,0.00233700708
290,0.00211373065
291,0.00190990791
292,0.0017240335
293,0.00155472744
294,0.00140067074
295,0.00126063242
